,error,file_name,output
0,0,indian-license-plates/in/Hyundai-Verna-518484c.jpg_0358_0278_0305_0272_0073.png,MT
1,0,indian-license-plates/in/Chevrolet-Beat-520847c.jpg_0000_0229_0388_0206_0089.png,
2,0,indian-license-plates/in/Nissan-Micra-526525d.jpg_0000_0343_0423_0157_0048.png,
3,0,indian-license-plates/in/Volkswagen-Vento-521155c.jpg_0000_0280_0328_0236_0055.png,QH86TA8731
4,0,indian-license-plates/in/Maruti-Suzuki-Alto-524014c.jpg_0000_0100_0155_0049_0014.png,BM
5,0,indian-license-plates/in/Toyota-Etios-529065d.jpg_0023_0342_0227_0145_0034.png,
6,0,indian-license-plates/in/Maruti-Suzuki-Zen-Estilo-527386b.jpg_0000_0334_0478_0194_0036.png,HQ88
7,0,indian-license-plates/in/Chevrolet-Beat-527214g.jpg_0000_0285_0236_0216_0061.png,
8,0,indian-license-plates/in/Hyundai-Getz-Prime-526603c.jpg_0000_0296_0309_0223_0061.png,
9,0,indian-license-plates/in/Honda-Civic-519967c.jpg_0000_0266_0234_0246_0059.png,
10,0,indian-license-plates/in/Maruti-Suzuki-Ritz-524195c.jpg_0000_0252_0324_0292_0076.png,
11,0,indian-license-plates/in/Honda-Civic-527473c.jpg_0009_0365_0199_0109_0040.png,
12,0,indian-license-plates/in/Hyundai-Verna-514742c.jpg_0355_0086_0154_0144_0043.png,TQ03TG03
13,0,indian-license-plates/in/Renault-Duster-527700c.jpg_0000_0276_0345_0289_0093.png,
14,0,indian-license-plates/in/Chevrolet-Optra-Magnum-527337c.jpg_0000_0152_0207_0104_0028.png,NB
15,0,indian-license-plates/in/Renault-Duster-523707e.jpg_0000_0403_0285_0191_0054.png,
16,0,indian-license-plates/in/Maruti-Suzuki-Swift-Dzire-517271c.jpg_0000_0276_0292_0229_0069.png,
17,0,indian-license-plates/in/Maruti-Suzuki-SX4-528527d.jpg_0000_0243_0269_0207_0066.png,
18,0,indian-license-plates/in/Hyundai-Santro-Xing-521130c.jpg_0002_0246_0382_0298_0083.png,
19,0,indian-license-plates/in/Tata-Nano-529800c.jpg_0001_0169_0268_0128_0031.png,
20,0,indian-license-plates/in/Fiat-Palio-Stile-526693b.jpg_0345_0203_0431_0164_0056.png,GN15
21,0,indian-license-plates/in/Maruti-Suzuki-Swift-Old-529306c.jpg_0002_0260_0448_0288_0067.png,
22,0,indian-license-plates/in/Honda-City-527854c.jpg_0000_0300_0255_0231_0064.png,
23,0,indian-license-plates/in/Mahindra-Xylo-518459c.jpg_0003_0364_0256_0127_0040.png,AR33SB
24,0,indian-license-plates/in/Hyundai-Verna-519395c.jpg_0348_0111_0328_0298_0079.png,
25,0,indian-license-plates/in/Chevrolet-Spark-528875c.jpg_0000_0263_0302_0224_0059.png,
26,0,indian-license-plates/in/Mahindra-Scorpio-525298c.jpg_0359_0271_0375_0203_0056.png,MD68DB3
27,0,indian-license-plates/in/Maruti-Suzuki-Swift-522747c.jpg_0332_0009_0361_0188_0058.png,
28,0,indian-license-plates/in/Hyundai-i10-522125c.jpg_0000_0305_0463_0167_0064.png,
29,0,indian-license-plates/in/Maruti-Suzuki-Swift-523702b.jpg_0345_0106_0347_0162_0043.png,BW58MQ5
30,0,indian-license-plates/in/Ford-Figo-518039c.jpg_0000_0234_0298_0228_0062.png,
31,0,indian-license-plates/in/Ford-Fiesta-513047g.jpg_0000_0277_0228_0276_0079.png,
32,0,indian-license-plates/in/Hyundai-Santro-Xing-519773d.jpg_0353_0174_0280_0166_0062.png,
33,0,indian-license-plates/in/Maruti-Suzuki-Swift-529140c.jpg_0000_0206_0429_0181_0058.png,W
34,0,indian-license-plates/in/Hyundai-Santro-Xing-512032d.jpg_0347_0139_0204_0080_0032.png,BD18GL
35,0,indian-license-plates/in/BMW-X5-528820c.jpg_0000_0316_0245_0160_0037.png,
36,0,indian-license-plates/in/Volkswagen-Polo-526811c.jpg_0003_0282_0455_0264_0075.png,NB
37,0,indian-license-plates/in/Volkswagen-Vento-521349c.jpg_0358_0291_0302_0202_0050.png,WB36DG711
38,0,indian-license-plates/in/Hyundai-i10-523457c.jpg_0013_0371_0530_0214_0057.png,
39,0,indian-license-plates/in/Honda-City-530076c.jpg_0000_0231_0326_0281_0100.png,
40,0,indian-license-plates/in/Volkswagen-Jetta-527772d.jpg_0020_0536_0428_0150_0063.png,
41,0,indian-license-plates/in/Hyundai-i20-522157c.jpg_0000_0347_0456_0154_0047.png,
42,0,indian-license-plates/in/Honda-City-521893e.jpg_0000_0274_0300_0225_0075.png,
43,0,indian-license-plates/in/Hyundai-i20-528389b.jpg_0358_0329_0356_0131_0031.png,
44,0,indian-license-plates/in/Maruti-Suzuki-Ritz-514713f.jpg_0351_0110_0179_0095_0028.png,
45,0,indian-license-plates/in/Hyundai-Verna-522870c.jpg_0354_0205_0302_0218_0063.png,
46,0,indian-license-plates/in/Honda-City-530305c.jpg_0000_0303_0343_0239_0056.png,
47,0,indian-license-plates/in/Tata-Indigo-eCS-527766c.jpg_0008_0182_0378_0326_0082.png,
48,0,indian-license-plates/in/Toyota-Etios-Liva-519982c.jpg_0000_0267_0490_0264_0070.png,
49,0,indian-license-plates/in/Maruti-Suzuki-Swift-Dzire-526299c.jpg_0000_0273_0330_0235_0069.png,
50,0,indian-license-plates/in/Hyundai-Verna-522812b.jpg_0346_0131_0405_0138_0043.png,
51,0,indian-license-plates/in/Hyundai-Santro-Xing-518699d.jpg_0000_0275_0489_0252_0062.png,
52,0,indian-license-plates/in/Mahindra-Scorpio-525108b.jpg_0000_0193_0494_0166_0105.png,R
